S.no,Tiktoker name,Tiktok name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.
1,0,0,13800000,6400000,2300000,50200,34200
2,0,0,149200000,17300000,2300000,15200,8700
3,0,0,2100000,17900000,845800,53900,6300
4,0,0,88700000,22000000,906600,7600,26200
5,0,0,4800000,14200000,1500000,14500,15300
6,0,0,7500000,12000000,2000000,20400,4200
7,0,0,55400000,13100000,1500000,14300,11900
8,0,0,5800000,16200000,2700000,4200,6900
9,0,0,3800000,11700000,1200000,19100,15200
10,0,0,42200000,13000000,1700000,17200,2100
11,0,0,146200000,15200000,959400,20800,4600
12,0,0,14500000,11400000,1500000,7200,11800
13,0,0,3900000,12400000,2200000,3600,6600
14,0,0,10300000,5700000,1300000,7900,27600
15,0,0,856300,6100000,1100000,16600,17700
16,0,0,4000000,10800000,680000,5700,22500
17,0,0,58100000,10400000,1500000,9100,3500
18,0,0,47000000,12300000,1900000,5500,2600
19,0,0,12700000,4300000,1100000,24800,14300
20,0,0,67200000,8800000,1200000,12100,4300
21,0,0,8700000,9300000,1900000,7300,2400
22,0,0,18100000,3800000,1100000,27400,9500
23,0,0,1100000,5100000,1400000,6600,13500
24,0,0,31200000,4500000,839600,13900,22200
25,0,0,1300000,4700000,864200,21900,8000
26,0,0,13000000,8500000,1700000,2200,6200
27,0,0,1300000,4900000,685900,30100,3300
28,0,0,285500,6400000,587600,12800,16300
29,0,0,6100000,12900000,789200,4500,6200
30,0,0,15500000,8100000,589200,17400,5400
31,0,0,25500000,14200000,1200000,3300,2600
32,0,0,3000000,6400000,760900,6100,14300
33,0,0,3300000,5200000,842200,12300,8500
34,0,0,4900000,6300000,1400000,2900,7100
35,0,0,31500000,6600000,962300,10000,3900
36,0,0,4500000,13800000,1000000,1800,4500
37,0,0,8000000,6900000,976200,8600,3700
38,0,0,6600000,9500000,1400000,3500,2700
39,0,0,12400000,9200000,1100000,6200,1800
40,0,0,23200000,7500000,992500,8500,1800
41,0,0,1100000,7900000,1300000,3800,3200
42,0,0,3000000,9000000,799500,8000,1600
43,0,0,2600000,8000000,616700,6400,7400
44,0,0,5000000,8199999.999999999,1200000,5000,2000
45,0,0,2200000,5500000,1400000,3800,4900
46,0,0,10300000,6000000,1000000,4400,6300
47,0,0,2900000,7000000,378500,1500,22500
48,0,0,36700000,9300000,1600000,2300,2000
49,0,0,1800000,3900000,685900,10100,13000
50,0,0,2600000,5000000,970100,6000,6000
51,0,0,493900,4400000,775200,9100,6700
52,0,0,27000000,5200000,816800,3800,8400
53,0,0,6400000,3900000,1100000,7000,4900
54,0,0,13600000,5200000,924300,5900,4000
55,0,0,1200000,4300000,192000,1800,55900
56,0,0,2900000,5400000,548200,7800,7700
57,0,0,1200000,6500000,603400,2000,9500
58,0,0,293300,2800000,665300,5700,18100
59,0,0,3100000,5100000,629300,5900,7200
60,0,0,27900000,12200000,1000000,1500,1700
61,0,0,3200000,3200000,812000,10900,4600
62,0,0,7200000,4300000,775300,7900,4100
63,0,0,64599.99999999999,5400000,804000,6900,1700
64,0,0,19000000,4800000,893300,3000,5600
65,0,0,43200000,5200000,804900,4200,4500
66,0,0,2300000,3800000,787700,2900,9000
67,0,0,23400000,7600000,870600,3100,1800
68,0,0,6300000,5100000,899500,3000,4000
69,0,0,489600,5700000,858800,3500,3100
70,0,0,6200000,5700000,903500,3200,2900
71,0,0,4900000,5100000,752500,1400,6700
72,0,0,35700000,6800000,1000000,2500,1900
73,0,0,4600000,5300000,774200,7000,462
74,0,0,12500000,5400000,570500,8700,1100
75,0,0,91400000,7400000,677300,4900,1100
76,0,0,2800000,3500000,572600,5200,9500
77,0,0,10200000,4400000,436100,3000,12200
78,0,0,26500000,7800000,840800,1600,2500
79,0,0,7300000,7000000,1300000,26,2900
80,0,0,21300000,5500000,802300,1600,4400
81,0,0,5100000,12000000,470200,1700,2900
82,0,0,46300000,5400000,936600,3400,1500
83,0,0,5300000,3100000,440500,2500,15700
84,0,0,11700000,4099999.9999999995,683500,5400,3200
85,0,0,960600,6500000,869100,1700,2400
86,0,0,144700,3500000,382400,8300,8900
87,0,0,29900000,4900000,802800,2200,3600
88,0,0,21900000,4500000,736700,2500,4200
89,0,0,8500000,4600000,874400,3500,2000
90,0,0,33600000,5000000,415300,3900,6600
91,0,0,1700000,4400000,521900,5500,4000
92,0,0,7300000,3800000,730800,6600,1200
93,0,0,1100000,3000000,325100,14400,7500
94,0,0,4500000,2200000,198600,1300,46000
95,0,0,4099999.9999999995,6700000,868100,2400,1200
96,0,0,14300000,4200000,528100,6900,2400
97,0,0,3600000,3400000,588500,4400,5800
98,0,0,10600000,5500000,733800,1500,3500
99,0,0,2500000,5400000,467800,1800,6300
100,0,0,6400000,4900000,660100,2700,3500
101,0,0,5400000,3000000,628400,1600,9000
102,0,0,77200,3700000,498400,5900,4400
103,0,0,1100000,2900000,230500,1200,27700
104,0,0,1500000,3400000,268000,9500,11200
105,0,0,44000,2400000,188100,1200,39600
106,0,0,4500000,4400000,419900,4100,5900
107,0,0,1900000,4700000,333200,4400,7300
108,0,0,21500000,7700000,477100,2000,2800
109,0,0,871700,3400000,854700,4100,2000
110,0,0,2800000,8100000,337400,1300,5100
111,0,0,13400000,4200000,337100,2400,10000
112,0,0,4000000,2800000,654200,7600,2000
113,0,0,9900000,6800000,625200,3000,1000
114,0,0,733400,1600000,350900,27000,2500
115,0,0,2100000,2700000,444700,5200,8500
116,0,0,2400000,3200000,428300,1300,10600
117,0,0,8900000,1900000,478800,14600,3800
118,0,0,4900000,3600000,603100,1900,5600
119,0,0,3600000,5500000,321600,1300,7900
120,0,0,10700000,3000000,450100,3800,8100
121,0,0,7900000,4500000,364900,6300,3100
122,0,0,35700000,5400000,610300,2500,2200
123,0,0,3800000,3000000,298100,7000,9900
124,0,0,2600000,4500000,565100,2500,3400
125,0,0,2500000,2900000,516200.00000000006,4000,6000
126,0,0,17400000,3500000,658800,3800,2800
127,0,0,30500000,4600000,751900,3500,799
128,0,0,8700000,3400000,934200,2600,1900
129,0,0,6600000,3500000,565300,3100,4100
130,0,0,124800,2200000,208700,1800,28300
131,0,0,6500000,2300000,508700,2700,8700
132,0,0,33800000,6400000,488100,2200,2100
133,0,0,3400000,3100000,756800,3900,1800
134,0,0,3400000,3200000,426300,3100,6300
135,0,0,1100000,3400000,298500,2800,9800
136,0,0,19400000,4200000,571700,3700,1700
137,0,0,23600000,5900000,678900,1900,1400
138,0,0,615700,3200000,183700,352,21300
139,0,0,7000000,7000000,249200,1200,6100
140,0,0,3300000,7700000,466300,2300,1200
141,0,0,681800,3700000,636000,3500,1800
142,0,0,26200000,4400000,440600,1700,4600
143,0,0,2500000,3400000,447500,3500,4400
144,0,0,14900000,3300000,487100,4600,2700
145,0,0,8600000,5400000,307500,5200,1900
146,0,0,5900000,3300000,643800,2200,3200
147,0,0,6000000,1900000,595100,5300,4900
148,0,0,73900,3500000,259600.00000000003,928,11800
149,0,0,15900000,4800000,976900,1400,1000
150,0,0,2200000,3300000,564700,3300,2800
151,0,0,15900000,4800000,976900,1400,1000
152,0,0,2200000,3300000,564700,3300,2800
153,0,0,1400000,2600000,396600,2700,8200
154,0,0,12700000,5500000,766100,1800,882
155,0,0,23600000,5700000,620800,1800,1300
156,0,0,6400000,2900000,445500,4600,4000
157,0,0,3400000,4800000,481900,3200,1400
158,0,0,22800000,5700000,848400,1200,1000
159,0,0,2200000,4200000,386900,3000,3600
160,0,0,5300000,2600000,325000,4800,7600
161,0,0,213600,7700000,471300,1600,1200
162,0,0,8400000,3900000,678600,2200,1700
163,0,0,42200,3100000,724400,1200,3400
164,0,0,2400000,2200000,417200,3900,7300
165,0,0,201500,2900000,346200,4800,5100
166,0,0,159300,3500000,347200,4400,3900
167,0,0,3500000,3500000,567200,841,4200
168,0,0,7700000,4500000,825600,1500,1100
169,0,0,24300000,4800000,612400,1300,2000
170,0,0,3800000,3400000,408900,443,6400
171,0,0,5000000,2300000,675900,2000,4100
172,0,0,695700,3600000,628500,1900,2100
173,0,0,369000,2200000,130199.99999999999,1000,30600
174,0,0,1600000,2300000,462700,2600,6100
175,0,0,2200000,4500000,288800,5400,1400
176,0,0,880700,3200000,129400,1200,20000
177,0,0,5100000,3800000,419600,2600,3000
178,0,0,3200000,3800000,552400,3400,764
179,0,0,8800000,4700000,720500,1600,960
180,0,0,44400000,3800000,489800,3600,1100
181,0,0,36200000,4800000,453100,2800,1100
182,0,0,4900000,2300000,559800,3800,2700
183,0,0,5700000,4900000,330900,1000,4100
184,0,0,1200000,2200000,251900,2200,12900
185,0,0,1600000,2700000,366400,3600,4500
186,0,0,44900000,4900000,574400,2000,813
187,0,0,1100000,3600000,496100,1800,2600
188,0,0,19400000,4000000,420500,2700,2000
189,0,0,10400000,3900000,573500,1300,2100
190,0,0,2900000,2300000,371100,1900,7000
191,0,0,6300,2900000,208200,2700,9900
192,0,0,4800000,2700000,518500,3600,1700
193,0,0,2400000,2400000,458100,1600,5200
194,0,0,5700000,4099999.9999999995,293400,3700,2600
195,0,0,1300000,2000000,444000,3100,5300
196,0,0,7700000,3700000,582200,2100,1300
197,0,0,33600000,4400000,492000,2600,786
198,0,0,3500000,2200000,492000,1900,4700
199,0,0,19500000,4200000,414100,2800,1300
200,0,0,4000000,5000000,492500,2200,708
201,0,0,14600000,4000000,457200,2700,1100
202,0,0,390500,3000000,376800,4300,1700
203,0,0,2700000,3100000,320800,1100,5600
204,0,0,3800000,3700000,667900,1400,1300
205,0,0,63800,4099999.9999999995,286400,2400,3200
206,0,0,14700000,4300000,302800,2800,2300
207,0,0,13900,2300000,522900,1200,4200
208,0,0,4900000,3600000,313500,4600,1100
209,0,0,4300000,1800000,414800,7000,1600
210,0,0,8700000,3500000,390700,2900,1800
211,0,0,808500,2800000,154500,3000,11800
212,0,0,17400000,3500000,287700,1000,5300
213,0,0,2200000,3600000,392900,2400,2100
214,0,0,3200000,2200000,394700,5300,1900
215,0,0,12700000,5400000,293700,3200,722
216,0,0,275700,13100000,299200,435,1200
217,0,0,486900,3800000,469400,1800,1700
218,0,0,5900000,4600000,648500,842,1300
219,0,0,25200000,3400000,327800,3600,1900
220,0,0,2900000,1600000,467100,3900,4400
221,0,0,14400000,2900000,599900,2000,1400
222,0,0,21600000,3000000,430300,3600,1000
223,0,0,36900000,4200000,356400,2900,1100
224,0,0,5800000,2000000,234700,1800,10800
225,0,0,2000000,3400000,492200,1600,1900
226,0,0,3200000,1600000,364000,3800,6600
227,0,0,3000000,2400000,355600,4100,2700
228,0,0,2400000,1700000,479400,5800,1300
229,0,0,1700000,3400000,131000,6900,6000
230,0,0,2800000,2000000,341900,5500,2900
231,0,0,6900000,2700000,192000,8600,2600
232,0,0,1800000,2500000,418300,1800,3800
233,0,0,11500000,3200000,539900,2500,755
234,0,0,3900000,3400000,200200,1200,6900
235,0,0,5300000,3500000,480500,1900,1400
236,0,0,10400000,3800000,400800,2400,1100
237,0,0,2400000,1400000,235800,4300,12300
238,0,0,5400000,2700000,340100,2300,3700
239,0,0,2700000,4099999.9999999995,346500,2400,1400
240,0,0,3300000,1600000,411500,3400,4700
241,0,0,23100000,4600000,317300,1400,2300
242,0,0,2000000,3500000,351400,2100,2300
243,0,0,187900,2100000,274900,1500,7600
244,0,0,22700000,4800000,497800,1500,711
245,0,0,5900,1500000,276600,2200,10800
246,0,0,12100000,5400000,444800,1400,799
247,0,0,7600000,3700000,368200,2600,1100
248,0,0,30700000,3300000,542400,2400,440
249,0,0,3300000,2500000,412100,4400,582
250,0,0,737800,2100000,232000,4900,5300
251,0,0,858300,2200000,317600,3000,4100
252,0,0,783500,2700000,355200,2900,2400
253,0,0,7800000,3600000,395700,1300,2100
254,0,0,12600000,3200000,346500,3300,1200
255,0,0,633900,2000000,251500,2600,7100
256,0,0,3500000,3100000,381700,1500,2600
257,0,0,10800000,3900000,529100,1400,948
258,0,0,17700000,3700000,355500,2600,1100
259,0,0,1500000,2600000,563300,2500,773
260,0,0,7700000,2000000,322100,6500,977
261,0,0,917600,2100000,475000,2900,1800
262,0,0,949400,2100000,573200,1800,2200
263,0,0,2600000,2600000,589400,1200,1900
264,0,0,2200000,3200000,196400,2300,5200
265,0,0,123500,4099999.9999999995,441500,1500,1100
266,0,0,19800,1800000,483500,3000,2300
267,0,0,6200000,1800000,171300,1500,13400
268,0,0,1600000,2000000,187100,9700,2400
269,0,0,1800000,3200000,370100,2400,1500
270,0,0,519299.99999999994,3600000,186100,1500,5200
271,0,0,21100000,3200000,441700,2700,523
272,0,0,5900000,3100000,397900,2300,1400
273,0,0,5500000,2100000,348200,4100,2000
274,0,0,9400000,4400000,184100,4800,712
275,0,0,6500000,2500000,442700,2300,1800
276,0,0,3500000,3500000,405700,1400,1800
277,0,0,24200000,3300000,521100,959,1600
278,0,0,280000,2200000,467500,1300,3000
279,0,0,1300000,2400000,209400,2100,6600
280,0,0,10100000,2800000,303500,3100,2000
281,0,0,472400,5100000,255200,659,2600
282,0,0,2900000,2000000,282000,810,6700
283,0,0,15100000,2200000,443700,2500,1900
284,0,0,3500000,8900000,471000,775,223
285,0,0,4000000,2900000,149600,2300,7400
286,0,0,1700000,3800000,429500,1300,1300
287,0,0,3200000,2100000,323100,2500,3800
288,0,0,2200000,4700000,447900,815,1200
289,0,0,1400000,3300000,333900,3200,583
290,0,0,8100000,1000000,344900,7600,3900
291,0,0,1600000,2000000,306400,4500,2300
292,0,0,686100,1400000,336800,1800,6600
293,0,0,5000000,2600000,336300,1400,3400
294,0,0,1500000,1400000,161500,696,17200
295,0,0,17300000,3900000,596400,654,1100
296,0,0,14400000,3500000,492100,1700,673
297,0,0,13500000,4099999.9999999995,608800,1000,605
298,0,0,3600000,3100000,189000,6600,303
299,0,0,3100000,2300000,270900,4900,1500
300,0,0,13500000,3100000,433300,1200,1700
301,0,0,16200000,3500000,275500,2500,1500
302,0,0,1600000,2000000,442000,3700,764
303,0,0,15400000,2000000,341800,4100,1500
304,0,0,839700,3000000,318200,1000,2900
305,0,0,3500000,1900000,323600,1000,5300
306,0,0,2700000,2500000,211200,1000,6100
307,0,0,13200000,2700000,523900,1800,836
308,0,0,8700,2000000,315300,1600,4400
309,0,0,4800000,1600000,339300,1600,5300
310,0,0,2700000,1600000,361200,5000,1300
311,0,0,23400000,3700000,168100,2700,3300
312,0,0,10700000,3000000,424900,1800,1000
313,0,0,28100000,2300000,228400,1100,6000
314,0,0,2200000,4700000,651900,653,532
315,0,0,4000000,1600000,222100,3300,6900
316,0,0,4400000,1600000,328200,1100,5800
317,0,0,3100000,2500000,371200,1300,2600
318,0,0,95800,2200000,433900,1500,2300
319,0,0,8900000,2600000,506000,2100,643
320,0,0,7500000,4000000,375800,2000,394
321,0,0,2200000,2200000,430600,2100,1800
322,0,0,9600000,2700000,363000,3400,318
323,0,0,13700000,4000000,534400,1000,642
324,0,0,2300000,2100000,300900,1600,3900
325,0,0,1400000,1900000,184900,1400,8700
326,0,0,3600000,6400000,474600,635,509
327,0,0,63600000,4600000,228400,2300,978
328,0,0,7300000,2900000,376900,2200,904
329,0,0,1300000,1900000,221300,1100,6900
330,0,0,2100000,3300000,490600,1500,554
331,0,0,14600000,1800000,136900,4800,8800
332,0,0,750400,3300000,127200,7600,354
333,0,0,499900,2400000,586500,998,1300
334,0,0,1800000,2000000,296100,3800,1800
335,0,0,550300,1800000,177300,8600,1800
336,0,0,2300000,2100000,292900,2000,3300
337,0,0,5300000,2200000,476100,1200,1900
338,0,0,4600000,3000000,276400,2600,1300
339,0,0,43500000,4200000,422000,1400,399
340,0,0,36500,4600000,670600,686,355
341,0,0,4099999.9999999995,1900000,156300,6300,4400
342,0,0,1300000,3300000,251800,1100,2700
343,0,0,3200000,2000000,217200,2300,5200
344,0,0,3100000,1600000,239400,5400,3000
345,0,0,2100000,2600000,273000,2100,2300
346,0,0,2900000,1900000,280400,4800,1000
347,0,0,1900000,2200000,340000,2000,2200
348,0,0,3700000,1900000,361000,2600,2000
349,0,0,6300000,2000000,294700,4800,467
350,0,0,8300000.000000001,2700000,388300,2200,712
351,0,0,691700,2800000,323000,955,2500
352,0,0,192800,3700000,304500,1500,1200
353,0,0,1200000,2100000,516799.99999999994,1400,1500
354,0,0,168200,2300000,313100,2500,1800
355,0,0,2200000,4000000,189900,1000,3100
356,0,0,3100000,2000000,348400,2500,1900
357,0,0,53100,1800000,321300,2700,2600
358,0,0,1600000,3100000,495300,844,1200
359,0,0,3700000,1900000,218200,1200,6100
360,0,0,56000,2900000,78800,2700,10600
361,0,0,13100000,4099999.9999999995,283400,1200,1400
362,0,0,7600000,1900000,247500,4400,2000
363,0,0,3300000,3100000,254000,2300,1500
364,0,0,2300000,1900000,338300,2700,2100
365,0,0,7200000,2000000,396500,2100,1800
366,0,0,11200000,1900000,486500,2600,563
367,0,0,5200000,1900000,291900,3900,1400
368,0,0,98600,1400000,401700,1300,3900
369,0,0,5900000,2100000,321700,1700,2600
370,0,0,5600000,1800000,296600,4400,1000
371,0,0,2800000,2200000,237100,842,4700
372,0,0,12800000,3200000,282600,1200,2000
373,0,0,2000000,1600000,381600,1500,3400
374,0,0,3700000,4400000,365500,1300,493
375,0,0,103400,1900000,155400,2200,7400
376,0,0,872400,2200000,80500,1700,14200
377,0,0,2700000,1500000,213400,1400,7400
378,0,0,2300000,1800000,340900,2800,1700
379,0,0,354500,815500,214000,5400,10600
380,0,0,3700000,2900000,235900,2800,1200
381,0,0,11800000,3500000,473900,988,662
382,0,0,161200,1200000,129699.99999999999,12700,4800
383,0,0,3800000,2900000,190100,2700,2300
384,0,0,5700000,2500000,396200,1800,934
385,0,0,7300000,2300000,413300,1100,1700
386,0,0,2900000,1900000,250800,4900,764
387,0,0,4800000,2700000,295200,1400,2000
388,0,0,3700000,2800000,335100,1000,1800
389,0,0,1300000,2300000,188300,2200,4100
390,0,0,6900000,2900000,340000,1100,1600
391,0,0,4900000,3400000,558800,568,825
392,0,0,3300000,3000000,285200,773,2400
393,0,0,6100000,1300000,139300,370,14200
394,0,0,52400,1000000,179300,3300,10900
395,0,0,17900000,1300000,325500,3700,2500
396,0,0,2300000,2300000,369300,1800,1200
397,0,0,14500000,3400000,274400,2600,294
398,0,0,690200,2600000,239800,4000,205
399,0,0,4200000,1900000,412500,2000,1300
400,0,0,614300,2400000,166200,1200,5400
401,0,0,6200000,3200000,498000,1100,538
402,0,0,172700,2300000,91500,1100,11100
403,0,0,4500000,5600000,547400,507,330
404,0,0,34100000,3000000,410900,1200,961
405,0,0,4500000,2600000,393300,1900,546
406,0,0,8800000,1500000,194200,755,8300
407,0,0,12700000,3400000,450000,1300,379
408,0,0,4500000,2400000,262900,3300,830
409,0,0,2300000,3700000,460400,1100,334
410,0,0,6800000,1500000,229600,1900,5400
411,0,0,25600000,2700000,354000,1900,737
412,0,0,1100000,1800000,188500,463,7000
413,0,0,1200000,1700000,225600,4700,1900
414,0,0,7200000,2900000,239200,1500,2100
415,0,0,372600,2200000,67700,1100,15700
416,0,0,795000,1800000,314000,2000,2400
417,0,0,661400,2100000,169400,3100,3900
418,0,0,12200000,2100000,277200,2300,2000
419,0,0,1300000,2200000,190200,3400,2600
420,0,0,9800000,3500000,342600,1200,845
421,0,0,198700,4000000,113200,3100,2400
422,0,0,295200,1500000,296700,2000,3600
423,0,0,5200000,5400000,360600,626,619
424,0,0,1600000,1300000,265600,3200,3800
425,0,0,18500000,2500000,398200,1800,645
426,0,0,731300,2200000,396700,288,2500
427,0,0,17900000,5000000,376200,478,813
428,0,0,7700000,4099999.9999999995,240400,1600,823
429,0,0,9700000,1700000,314600,3000,1600
430,0,0,803500,3700000,281500,2000,302
431,0,0,5700000,1800000,279500,2800,2100
432,0,0,832300,1900000,316900,1600,2500
433,0,0,4099999.9999999995,1500000,295900,1200,4400
434,0,0,2400000,1600000,387600,2900,910
435,0,0,1500000,3200000,162000,1300,3200
436,0,0,4900000,3300000,191000,3500,227
437,0,0,33200000.000000004,3100000,358500,1500,684
438,0,0,3800000,3900000,541900,801,318
439,0,0,4500000,2100000,336600,710,2600
440,0,0,40400,2800000,189800,2400,1900
441,0,0,2500000,2100000,313500,1200,2300
442,0,0,67600,2200000,149100,7100,122
443,0,0,8900000,4600000,434000,772,377
444,0,0,312400,1500000,369800,836,3300
445,0,0,3400000,2000000,327800,884,2700
446,0,0,543800,2200000,293300,2800,718
447,0,0,731300,2100000,271200,2600,1300
448,0,0,5800000,3700000,369700,1000,590
449,0,0,2600000,2000000,268200,2000,2200
450,0,0,13800000,3700000,400700,917,581
451,0,0,1200000,1300000,165700,1700,8600
452,0,0,1900000,1900000,136800,5800,2600
453,0,0,16800,1200000,294600,1300,5100
454,0,0,905600,2900000,195100,2000,1800
455,0,0,1500000,1100000,304200,2000,4500
456,0,0,14800000,2200000,277300,1300,2300
457,0,0,10400000,2000000,137000,6200,1700
458,0,0,1500000,3800000,447500,964,300
459,0,0,2500000,1800000,254400,2900,1800
460,0,0,10500000,2000000,364900,1800,1100
461,0,0,7900000,2200000,305500,1700,1400
462,0,0,1700000,2600000,223900,1600,2000
463,0,0,5300000,2900000,277100,977,1600
464,0,0,341300,2000000,283200,1200,2400
465,0,0,9800000,2500000,178600,4400,178
466,0,0,8100000,2600000,272600,802,2200
467,0,0,8199999.999999999,1700000,354400,2300,1100
468,0,0,709700,872900,137900,4400,12600
469,0,0,1400000,4300000,246700,460,1500
470,0,0,1900000,3900000,162300,1100,2100
471,0,0,643300,2100000,77000,0,12600
472,0,0,1700000,2800000,268000,1200,1500
473,0,0,23200000,2800000,320700,1400,867
474,0,0,8800000,2700000,390700,936,982
475,0,0,2600000,2100000,198800,1500,3300
476,0,0,7000000,2600000,466200,370,1300
477,0,0,41600000,2000000,254500,3500,413
478,0,0,377900,1600000,283300,1500,2800
479,0,0,1400000,2400000,199000,410,3700
480,0,0,3700000,1300000,241000,1300,4900
481,0,0,3700000,2500000,458400,792,923
482,0,0,23900000,5200000,361900,787,245
483,0,0,12200000,3200000,167700,709,2800
484,0,0,1200000,1600000,257399.99999999997,2700,2100
485,0,0,17200000,1600000,299700,2800,1300
486,0,0,13500000,2200000,320300,2300,411
487,0,0,3100000,1000000,227600,1200,6700
488,0,0,19000000,2000000,324800,1900,937
489,0,0,4300000,2500000,398000,1500,407
490,0,0,5900000,1900000,319600,646,2500
491,0,0,8500000,4000000,444900,894,147
492,0,0,5700000,1400000,296000,1500,2900
493,0,0,1000000,2000000,272800,790,2700
