row-cell,Tiktoker name,Tiktok name,"
492,0,0,471500,2700000,238300,1400,548
493,0,0,12300000,1800000,338200,1400,712
494,0,0,14000000,1400000,227200,1500,2500
495,0,0,8100000,2400000,240900,1300,793
496,0,0,2500000,1600000,304400,604,1900
497,0,0,636400,980200,197300,874,5500
498,0,0,2600000,2700000,143600,1300,1900
499,0,0,6500000,1600000,219300,753,2700
500,0,0,3800000,1400000,371800,1500,814
501,0,0,7500000,1400000,168800,3600,1700
502,0,0,8400000,1200000,173400,2200,3700
503,0,0,267400,5300000,111100,705,1400
504,0,0,3300000,2000000,137700,1400,3000
505,0,0,26700000,1400000,236700,3200,449
506,0,0,2700000,1600000,243300,1100,2000
507,0,0,3100000,1300000,260600.00000000003,939,2600
508,0,0,2100000,1100000,190900,1400,4200
509,0,0,12200000,2200000,160300,432,3000
510,0,0,9400000,3000000,339400,736,456
511,0,0,6800000,2300000,266600,1200,707
512,0,0,1100000,2200000,234900,1000,1300
513,0,0,17000000,1700000,393900,841,920
514,0,0,17500000,2100000,250900,481,1800
515,0,0,3200000,3900000,138600,896,1300
516,0,0,2900000,2500000,313900,1100,364
517,0,0,2600000,1300000,180200,752,4300
518,0,0,397500,1400000,184000,1800,2600
519,0,0,5200000,2700000,227700,1300,662
520,0,0,8900000,1600000,166300,1000,3400
521,0,0,28400000,2300000,259000,441,1500
522,0,0,17100000,3400000,433500,423,354
523,0,0,4900000,2300000,113800,287,4100
524,0,0,35200000,2800000,162400,896,1600
525,0,0,714900,836900,204300,3700,2900
526,0,0,4000000,1500000,152400,794,4100
527,0,0,1200000,1400000,260100.00000000003,1500,1700
528,0,0,1700000,3500000,269700,780,410
529,0,0,3200000,3900000,310500,582,342
530,0,0,524100,2300000,153900,1500,1700
531,0,0,13700000,2700000,163200,1100,1500
532,0,0,3600000,806600,243400,3200,2300
533,0,0,2100000,2000000,221200,1000,1500
534,0,0,5700000,2400000,107000,866,3400
535,0,0,704200,1600000,78700,939,7700
536,0,0,1300000,4099999.9999999995,311000,444,406
537,0,0,4800000,2200000,174800,1000,1900
538,0,0,6200000,1700000,328100,1500,468
539,0,0,4300000,1500000,263400,1400,1300
540,0,0,3800000,1100000,184400,864,4500
541,0,0,21300000,2500000,303900,1100,324
542,0,0,2400000,2300000,149900,865,2200
543,0,0,3300000,4200000,168800,896,592
544,0,0,5100000,1900000,194200,2100,714
545,0,0,7700000,4000000,216200,597,599
546,0,0,3600000,1500000,284600,1300,1100
547,0,0,26200000,2600000,243100,1100,499
548,0,0,5000000,1100000,199100,989,3700
549,0,0,852000,2500000,325000,863,401
550,0,0,2100000,2300000,288600,463,1100
551,0,0,8500000,1700000,194100,707,2400
552,0,0,11300000,2200000,321100,809,637
553,0,0,1800000,2300000,202100,310,1900
554,0,0,6500000,1200000,196500,1000,3300
555,0,0,1900000,1300000,158700,3600,1300
556,0,0,5800000,2300000,187000,1200,1100
557,0,0,13700000,3000000,190200,1400,348
558,0,0,8900000,3500000,382400,427,319
559,0,0,16200000,3300000,170100,985,793
560,0,0,3000000,3000000,291600,968,188
561,0,0,3400000,1100000,192600,3600,1000
562,0,0,287600,4200000,273800,734,126
563,0,0,4000000,1200000,149400,2100,3400
564,0,0,19200000,1700000,202300,1900,981
565,0,0,35000000,2900000,172100,920,1100
566,0,0,6800000,1100000,214100,1500,2700
567,0,0,1400000,2200000,336900,926,393
568,0,0,5100000,2800000,252700,721,654
569,0,0,3500000,2900000,207400,477,1100
570,0,0,4600000,1600000,142600,1000,3300
571,0,0,23400000,1900000,298000,905,810
572,0,0,14200000,2800000,154600,990,1300
573,0,0,1100000,1400000,124400,1200,4300
574,0,0,549000,1600000,113800,2500,2800
575,0,0,4000000,2200000,179400,2100,310
576,0,0,680400,1200000,68900,855,11200
577,0,0,319800,1500000,162100,1300,2800
578,0,0,2400000,1000000,86200,217,10500
579,0,0,3200000,1400000,249400,1400,1400
580,0,0,5700000,3000000,184200,665,1000
581,0,0,2000000,1400000,109700,4100,2100
582,0,0,244000,3400000,336000,455,373
583,0,0,7800000,1700000,314100,1000,738
584,0,0,5200000,1500000,283500,800,1400
585,0,0,5000000,3800000,401700,308,309
586,0,0,4500000,1600000,178300,2200,1200
587,0,0,150300,1300000,124500,2000,3800
588,0,0,3100000,2000000,223100,1600,461
589,0,0,1300000,2800000,75700,998,3400
590,0,0,13200000,2200000,259800,1000,581
591,0,0,2000000,2500000,169100,1700,544
592,0,0,719400,1400000,282800,2000,318
593,0,0,4700000,1600000,280800,546,1500
594,0,0,3100000,1500000,139600,1200,3100
595,0,0,2700000,1500000,198900,993,2100
596,0,0,4200000,1700000,233100,1700,577
597,0,0,2000000,1200000,208900,2300,1100
598,0,0,8600000,1900000,106000,3400,1100
599,0,0,3900000,2300000,280400,648,754
600,0,0,3700000,1700000,209600,353,2200
601,0,0,7000000,1000000,236300,903,2800
602,0,0,5300000,1100000,86000,438,9400
603,0,0,1100000,2300000,343800,801,342
604,0,0,3700000,2000000,189900,1200,1100
605,0,0,4200000,2200000,188000,784,1300
606,0,0,787300,2800000,131400,1300,1100
607,0,0,5400000,2500000,254500,1000,339
608,0,0,278400,713600,122200,728,9300
609,0,0,2100000,1500000,106000,2700,2700
610,0,0,8700000,2000000,275200,557,1100
611,0,0,15300000,2600000,324400,787,239
612,0,0,2900000,1900000,154800,1800,1100
613,0,0,26400000,1700000,209000,1400,1000
614,0,0,4400000,2900000,428900,364,319
615,0,0,4600000,2000000,173700,1200,1200
616,0,0,2600000,2400000,234000,1100,442
617,0,0,20700000,1900000,181100,1600,894
618,0,0,11800000,1500000,284500,1500,476
619,0,0,2600000,1300000,186700,601,2800
620,0,0,1400000,1100000,124400,5500,532
621,0,0,460700,3300000,180800,745,631
622,0,0,355100,2400000,157000,1300,835
623,0,0,552500,2500000,99800,1600,1700
624,0,0,11500000,1700000,239900,1100,916
625,0,0,13900000,7300000,147100,278,484
626,0,0,12700000,1700000,154300,1400,1700
627,0,0,6700000,3000000,228500,808,396
628,0,0,7100000,1700000,244600,1100,935
629,0,0,10600000,2100000,223500,977,744
630,0,0,5100000,989500,208600,2100,1800
631,0,0,1600000,1100000,220500,1100,2300
632,0,0,2800000,2300000,315900,797,309
633,0,0,2200000,2600000,190700,812,797
634,0,0,12900000,2300000,392700,714,183
635,0,0,1300000,1700000,353000,1000,287
636,0,0,1800000,3500000,177800,626,638
637,0,0,15000000,1600000,154200,1500,1700
638,0,0,2700000,1700000,260399.99999999997,1000,738
639,0,0,3700000,2400000,340000,623,355
640,0,0,7700000,1900000,152400,1600,1100
641,0,0,654600,2800000,122900,1200,1100
642,0,0,2500000,1900000,143700,2500,360
643,0,0,3700000,2300000,243900,841,517
644,0,0,278400,1300000,92200,2700,3600
645,0,0,6200000,1100000,238000,1900,999
646,0,0,4800000,1100000,109300,706,5600
647,0,0,5800000,2700000,275300,504,511
648,0,0,5000000,1700000,222900,965,1000
649,0,0,5000000,2000000,288200,823,513
650,0,0,4099999.9999999995,3700000,256399.99999999997,378,413
651,0,0,6800000,1900000,163000,396,2000
652,0,0,187700,1900000,127700,499,2600
653,0,0,3300000,835400,177600,1800,3200
654,0,0,2100000,1800000,194300,1300,857
655,0,0,4500000,2500000,259000,743,408
656,0,0,2200000,1900000,126400,2400,817
657,0,0,9400000,1700000,298700,866,588
658,0,0,14600000,1900000,216500,520,1300
659,0,0,4400000,1100000,123200,2900,2700
660,0,0,897400,1500000,206700,1100,1300
661,0,0,2800000,2400000,381700,509,289
662,0,0,4099999.9999999995,3200000,239700,684,268
663,0,0,376800,2100000,391300,571,313
664,0,0,41800000,1800000,217300,1500,316
665,0,0,2600000,1400000,191700,1400,1300
666,0,0,22600000,1200000,286200,1600,509
667,0,0,1400000,1800000,180500,925,1300
668,0,0,8300000.000000001,879400,182200,1200,3300
669,0,0,4000000,2600000,125200,283,1900
670,0,0,13000000,2100000,356700,609,371
671,0,0,7400000,2300000,286300,432,680
672,0,0,9600000,1700000,229800,1600,266
673,0,0,3000000,1700000,128500,2800,466
674,0,0,3600000,1600000,178900,1000,1500
675,0,0,12300000,2700000,178800,787,709
676,0,0,5800000,1600000,268500,609,1000
677,0,0,17400000,2700000,344300,333,429
678,0,0,205500,1300000,132100,2800,1300
679,0,0,7900000,1500000,207200,1500,735
680,0,0,24500000,2200000,126000,636,1900
681,0,0,1700000,1300000,78900,179,6800
682,0,0,360600,1500000,229600,803,1200
683,0,0,8300000.000000001,1500000,261399.99999999997,1200,582
684,0,0,9400000,1500000,191900,1900,553
685,0,0,5600000,1600000,257399.99999999997,1100,642
686,0,0,1800000,2300000,284200,548,521
687,0,0,4000000,1500000,237400,1500,485
688,0,0,8300000.000000001,2100000,335300,733,258
689,0,0,1100000,1300000,225600,2100,291
690,0,0,358700,837900,294300,1600,1300
691,0,0,17600000,1800000,207700,1200,663
692,0,0,7400000,2100000,235900,507,923
693,0,0,2500000,904100,117900,3500,3000
694,0,0,1100000,1200000,241400,729,1600
695,0,0,5000000,1800000,179200,1600,552
696,0,0,4000000,1400000,197300,2000,440
697,0,0,168100,1600000,140200,643,2400
698,0,0,5900000,2400000,221300,721,559
699,0,0,23200000,2100000,278800,791,342
700,0,0,2000000,2800000,238400,774,218
701,0,0,2200000,1500000,148700,1200,1800
702,0,0,9200000,1800000,211000,653,1100
703,0,0,704000,879500,274400,718,2000
704,0,0,2700000,891000,133600,1100,4400
705,0,0,1400000,2600000,258700,286,689
706,0,0,9100000,1600000,266800,1200,319
707,0,0,2000000,1300000,193900,587,1900
708,0,0,375100,1000000,82100,2800,4800
709,0,0,5200000,2000000,229200,1100,351
710,0,0,26800000,1800000,310800,729,422
711,0,0,14300000,835100,62800,12200,83
712,0,0,1400000,1900000,262700,509,779
713,0,0,46100000,2000000,210900,1200,298
714,0,0,12500000,1700000,172100,737,1400
715,0,0,1200000,810100,137800,1900,3700
716,0,0,19600000,1700000,173300,1100,1000
717,0,0,3100000,2600000,214000,593,565
718,0,0,3300000,1600000,263700,1100,418
719,0,0,1000000,1500000,264100,1200,339
720,0,0,32799999.999999996,2200000,208500,846,514
721,0,0,455200,1000000,73500,867,7600
722,0,0,2700000,2600000,397300,339,273
723,0,0,5100000,1600000,189500,592,1400
724,0,0,10300000,2200000,242800,708,445
725,0,0,12000000,2200000,241500,517,641
726,0,0,32500000,1400000,199600,1800,470
727,0,0,2200000,1600000,130300.00000000001,2300,687
728,0,0,44200000,2700000,202700,915,207
729,0,0,10000000,1200000,199400,1700,829
730,0,0,29700000,1800000,239600,821,596
731,0,0,230400,1100000,98900,482,5100
732,0,0,755900,1100000,326100,901,802
733,0,0,4000000,1300000,259000,1100,744
734,0,0,5800000,2200000,234300,714,463
735,0,0,2100000,2000000,154800,1000,898
736,0,0,33000,1100000,108100,4500,514
737,0,0,2500000,3000000,170700,453,713
738,0,0,6000000,1600000,300300,898,344
739,0,0,6200000,1500000,223300,1200,537
740,0,0,3100000,968800,210000,857,2100
741,0,0,5400000,1800000,304200,639,448
742,0,0,2100000,1300000,107000,685,3600
743,0,0,4000000,2300000,232600,720,403
744,0,0,11100000,2500000,127700,1000,848
745,0,0,9200000,1900000,161200,1500,423
746,0,0,2800000,862400,177200,913,2800
747,0,0,2800000,1100000,216600,1300,1100
748,0,0,1300000,4900000,104000,451,658
749,0,0,4500000,1900000,242200,665,562
750,0,0,13900000,1600000,297300,795,385
751,0,0,9500000,1200000,245900,567,1300
752,0,0,3800000,897200,213600,1200,1800
753,0,0,1900000,1200000,132900,1500,2000
754,0,0,2000000,1100000,284200,712,1100
755,0,0,1200000,4300000,167200,663,112
756,0,0,25700000,1900000,248000,778,403
757,0,0,3700000,1500000,288900,649,634
758,0,0,10900000,2100000,199100,833,495
759,0,0,155200,1400000,100900,1100,2800
760,0,0,1500000,2200000,163500,837,697
761,0,0,8000000,2100000,254100,876,155
762,0,0,2600000,1100000,236900,1700,472
763,0,0,9600000,2000000,165200,587,1100
764,0,0,2400000,1200000,268700,864,876
765,0,0,2400000,1100000,169000,2400,464
766,0,0,866400,1400000,240300,502,1100
767,0,0,5100000,2400000,227900,820,155
768,0,0,2300000,1200000,170300,1300,1300
769,0,0,10600000,1800000,236800,509,730
770,0,0,872300,1200000,56400,416,7400
771,0,0,10000000,854000,220800,1900,921
772,0,0,5100000,2400000,238500,752,169
773,0,0,7800000,1200000,215600,1700,434
774,0,0,23000000,2300000,270800,456,406
775,0,0,5000000,1700000,144300,1200,936
776,0,0,21100000,1500000,200400,1000,688
777,0,0,12100000,1500000,291400,722,466
778,0,0,1300000,1200000,103200,354,3800
779,0,0,12200000,2300000,216800,545,519
780,0,0,334500,1500000,314800,407,690
781,0,0,2000000,1600000,270000,890,345
782,0,0,6300000,978500,154700,1800,1700
783,0,0,5000000,3000000,270800,431,202
784,0,0,2000000,1500000,158900,1700,515
785,0,0,954700,1900000,118600,1000,1200
786,0,0,15700000,1800000,146700,577,1400
787,0,0,2500000,871200,116000,431,4600
788,0,0,2300000,1300000,183100,973,1200
789,0,0,2600000,1400000,178400,769,1300
790,0,0,2700000,1100000,190100,1300,1100
791,0,0,10100000,1500000,133900,1900,637
792,0,0,36000,1300000,181500,1100,1100
793,0,0,2600000,1200000,146000,843,2000
794,0,0,1600000,1400000,211100,1300,420
795,0,0,16600000.000000002,1300000,182400,1800,281
796,0,0,1500000,1400000,226700,767,761
797,0,0,16800000,2800000,287400,358,265
798,0,0,49200000,2000000,174300,1100,302
799,0,0,3500000,2400000,83600,762,1800
800,0,0,3000000,2100000,118300,419,1600
801,0,0,7700000,2200000,178600,801,458
802,0,0,1400000,1200000,145400,819,2000
803,0,0,1800000,1900000,248800,548,493
804,0,0,66000,692800,111300,2900,3500
805,0,0,3500000,1300000,135300,1500,1400
806,0,0,2300000,921500,165100,763,2400
807,0,0,57500000,3000000,101300,1300,361
808,0,0,14800000,2700000,340600,385,142
809,0,0,1400000,1200000,150600,563,2100
810,0,0,958000,1300000,164900,1300,989
811,0,0,1700000,1100000,139800,2100,1000
812,0,0,7600000,1100000,272100,950,635
813,0,0,7500000,1700000,228900,503,728
814,0,0,8100000,1700000,251100,434,719
815,0,0,7400000,10800000,37000,548,643
816,0,0,11900000,2200000,223100,726,265
817,0,0,2300000,1500000,168400,843,1000
818,0,0,2200000,483200,108400,3000,6100
819,0,0,2800000,1400000,156300,334,1900
820,0,0,778400,1400000,158900,282,1800
821,0,0,13300000,1800000,240800,399,691
822,0,0,2900000,1800000,171900,773,749
823,0,0,6400000,1100000,121000,1800,1700
824,0,0,1700000,2300000,202000,587,420
825,0,0,4200000,1500000,270800,582,608
826,0,0,8600000,1800000,143100,1500,348
827,0,0,9500000,1700000,182100,667,836
828,0,0,9200000,2000000,217700,899,197
829,0,0,3900000,2200000,240700,711,187
830,0,0,16500000,1800000,290300,615,274
831,0,0,10300000,1200000,166700,2100,211
832,0,0,159500,1600000,135600,1300,798
833,0,0,6300000,1900000,208100,734,436
834,0,0,1400000,1300000,111500,521,2700
835,0,0,11100000,1700000,262200,562,475
836,0,0,2100000,1200000,88500,1900,2400
837,0,0,5200000,2500000,303300,388,220
838,0,0,6400000,1000000,181300,1400,1000
839,0,0,5700000,1400000,175400,1600,366
840,0,0,11300000,1700000,241300,700,410
841,0,0,2000000,762100,110100,1500,3900
842,0,0,3900000,2300000,165000,623,571
843,0,0,1700000,2700000,203000,554,286
844,0,0,35000000,1700000,276100,649,311
845,0,0,5000000,1600000,262700,851,220
846,0,0,2900000,1400000,66800,1700,3100
847,0,0,22300000,2600000,210600,570,248
848,0,0,4500000,1900000,104600,512,1700
849,0,0,6300000,1400000,128800.00000000001,2300,275
850,0,0,6000000,1800000,137400,1200,607
851,0,0,6300000,1400000,128800.00000000001,2300,275
852,0,0,6000000,1800000,137400,1200,607
853,0,0,2000000,659800,142200,1400,3300
854,0,0,13600000,1700000,179200,713,782
855,0,0,23200000,1500000,157100,1500,331
856,0,0,12000000,636400,84100,1100,7100
857,0,0,34200000,2100000,124900,865,795
858,0,0,15100000,1700000,185300,1200,178
859,0,0,2100000,1100000,155400,1300,1200
860,0,0,11700000,1800000,108000,1400,806
861,0,0,1400000,1000000,177700,1100,1400
862,0,0,2000000,1900000,134300,1100,675
863,0,0,1200000,2100000,176400,424,738
864,0,0,3700000,3600000,213000,403,159
865,0,0,30000000,1900000,94200,1000,1400
866,0,0,2200000,849200,186500,842,1900
867,0,0,5400000,1900000,188100,907,288
868,0,0,6600000,1200000,212000,1300,413
869,0,0,1800000,762300,96700,724,5100
870,0,0,1800000,1100000,138800,809,2000
871,0,0,14300000,2700000,281200,434,126
872,0,0,22700000,2300000,230200,486,317
873,0,0,336400,1300000,205100,820,774
874,0,0,336200,717600,73100,2400,5700
875,0,0,3200000,1700000,227000,759,330
876,0,0,779900,1300000,221200,840,629
877,0,0,1800000,1100000,116100,560,2700
878,0,0,4400000,1800000,263700,542,347
879,0,0,8100000,1800000,208500,616,508
880,0,0,1400000,666600,160600,1400,2600
881,0,0,998200,766600,178800,1700,1400
882,0,0,2000000,1700000,275600,780,117
883,0,0,2500000,1700000,155900,825,760
884,0,0,1100000,2500000,127600,856,459
885,0,0,1300000,6100000,72800,202,741
886,0,0,2200000,1800000,208700,717,428
887,0,0,5000000,1600000,215600,1100,143
888,0,0,515400,877400,215900,1100,1100
889,0,0,951200,991400,218100,1400,527
890,0,0,4099999.9999999995,2100000,228500,521,342
891,0,0,454400,2500000,93200,443,1300
892,0,0,5100000,770500,164200,803,2500
893,0,0,9000000,2100000,218400,727,191
894,0,0,12800000,1300000,242000,1100,214
895,0,0,8199999.999999999,1300000,165500,1000,866
896,0,0,7700000,1100000,215600,1200,551
897,0,0,1100000,1900000,114400,1200,690
898,0,0,7900000,1300000,149200,831,1300
899,0,0,1200000,2100000,68700,587,2300
900,0,0,3700000,1700000,121400,1100,826
901,0,0,5100000,770500,164200,803,2500
902,0,0,9000000,2100000,218400,727,191
903,0,0,12800000,1300000,242000,1100,214
904,0,0,8199999.999999999,1300000,165500,1000,866
905,0,0,7700000,1100000,215600,1200,551
906,0,0,1100000,1900000,114400,1200,690
907,0,0,7900000,1300000,149200,831,1300
908,0,0,1200000,2100000,68700,587,2300
909,0,0,3700000,1700000,121400,1100,826
910,0,0,8800000,2000000,305900,551,109
911,0,0,1300000,1100000,180100,1600,455
912,0,0,16200000,2300000,264400,551,106
913,0,0,9200000,1200000,144700,1300,899
914,0,0,7100000,1300000,147400,898,1200
915,0,0,4300000,1700000,185200,754,488
916,0,0,1200000,1300000,133500,675,1700
917,0,0,10700000,1300000,220500,549,834
918,0,0,9500000,1200000,100900,2600,705
919,0,0,36000000,2300000,145300,892,315
920,0,0,3700000,2200000,119800,1100,435
921,0,0,2900000,968200,107400,741,3000
922,0,0,5800000,707400,159400,1100,2400
923,0,0,14500000,1800000,247700,616,257
924,0,0,1300000,810700,99300,3800,1100
925,0,0,8700000,1500000,112900,341,2000
926,0,0,5700000,1100000,141500,1600,841
927,0,0,20700000,1500000,162000,436,1200
928,0,0,1300000,3000000,88300,767,708
929,0,0,1600000,2000000,167500,720,424
930,0,0,147900,791700,64099.99999999999,1400,6100
931,0,0,3000000,2200000,316000,388,162
932,0,0,8300000.000000001,534700,55000,5700,7300
933,0,0,835000,2000000,128500,509,972
934,0,0,1100000,1200000,162000,885,1000
935,0,0,20400000,2300000,278000,405,189
936,0,0,4099999.9999999995,1200000,139500,2100,147
937,0,0,6000000,2600000,249300,473,111
938,0,0,3300000,1600000,196700,314,884
939,0,0,7500000,1200000,102400,822,2200
940,0,0,5400000,915900,161700,1000,1500
941,0,0,12200000,2500000,199900,497,249
942,0,0,456700,949200,99300,991,3000
943,0,0,1500000,1300000,169400,575,1100
944,0,0,2300000,843800,240400,1300,531
945,0,0,3600000,1300000,169100,1200,443
946,0,0,4400000,1400000,182100,920,525
947,0,0,3100000,1100000,142700,562,1800
948,0,0,4700000,2300000,181400,706,176
949,0,0,12700000,1800000,259600.00000000003,415,371
950,0,0,796100,984500,144800,1200,1300
951,0,0,514000,628300,86500,3400,3200
952,0,0,5200000,1300000,201200,718,644
953,0,0,12600000,1700000,196900,635,429
954,0,0,24500000,1100000,148400,1200,955
955,0,0,976800,1700000,154900,968,352
956,0,0,1400000,1200000,124900,1400,966
957,0,0,2600000,1700000,172500,726,475
958,0,0,2800000,1400000,135500,753,1200
959,0,0,9200000,1100000,201700,767,817
960,0,0,627400,1300000,152900,523,1200
961,0,0,966100,1700000,118000,1200,532
962,0,0,2200000,1900000,134000,994,356
963,0,0,10600000,959700,168800,293,1900
964,0,0,5300000,840700,198200,1000,1100
965,0,0,1000000,1100000,92300,948,2500
966,0,0,14700000,1800000,233800,474,353
967,0,0,308700,2300000,183300,563,262
968,0,0,3800000,1600000,159800,1200,154
969,0,0,6100000,1600000,153600,434,979
970,0,0,8600000,1700000,201700,354,655
971,0,0,12800000,1300000,121000,1700,619
972,0,0,643400,1100000,143200,621,1600
973,0,0,1000000,726200,150700,679,2500
974,0,0,11200000,1300000,155500,1400,337
975,0,0,2900000,1900000,114800,1000,564
976,0,0,1200000,909300,117000,2100,1100
977,0,0,2300000,1300000,170500,620,982
978,0,0,1300000,1200000,177000,665,1000
979,0,0,769900,1500000,125400,1300,507
980,0,0,897200,1000000,185700,1100,658
981,0,0,7700000,1200000,214000,1200,122
982,0,0,552500,1700000,87800,1200,1100
983,0,0,7500000,1000000,183600,1100,727
984,0,0,6900000,1800000,207500,716,188
985,0,0,20400,455700,100300,840,6500
986,0,0,3300000,1400000,228900,931,112
987,0,0,702100,921000,114500,3000,172
988,0,0,4900000,2100000,150500,860,222
989,0,0,1200000,1800000,156500,926,258
990,0,0,1700000,2100000,93500,1300,382
991,0,0,3000000,1100000,124600,1700,760
992,0,0,20700000,1300000,134200,1500,371
993,0,0,9000000,1300000,165500,982,556
994,0,0,11100000,1300000,150500,732,959
995,0,0,15200000,2000000,301000,331,232
996,0,0,1600000,1100000,117600,1400,1100
997,0,0,669400,750300,118300,655,3000
998,0,0,552000,1000000,121900,1900,727
999,0,0,1100000,2000000,112500,1000,414
1000,0,0,10900000,1600000,212500,665,318
